algorithm,parameter,operation,iterations,mean_seconds,median_seconds,minimum_seconds,maximum_seconds,standard_deviation_seconds
ECDH,P-256,KeyGen,1500,2.7087332603211205e-05,2.5699962861835957e-05,2.5099958293139935e-05,0.00011070002801716328,6.126800141724517e-06
ECDH,P-256,SharedSecret,1500,7.503746737105151e-05,7.130007725208998e-05,7.079995702952147e-05,0.0003646999830380082,1.6313088545127232e-05
ECDSA,P-256,KeyGen,1500,2.60760011151433e-05,2.5799963623285294e-05,2.5399960577487946e-05,0.00012890005018562078,3.1570002325519453e-06
ECDSA,P-256,Signing,1500,3.792180058856805e-05,3.5800039768218994e-05,3.529991954565048e-05,0.0001713999081403017,6.908147124289969e-06
ECDSA,P-256,Verification,1500,9.833520068787039e-05,9.440002031624317e-05,9.359989780932665e-05,0.0005203000036999583,1.677090190771695e-05
ML-DSA,65,KeyGen,1500,0.00031353166839107873,0.0002839999506250024,0.0002775000175461173,0.0007596000796183944,6.215123656984495e-05
ML-DSA,65,Signing,1500,0.0015165815991349519,0.0011834999895654619,0.0005025999853387475,0.00907179992645979,0.0010836502277030947
ML-DSA,65,Verification,1500,0.00027255846645372607,0.00026290002278983593,0.00026219990104436874,0.0006809999467805028,3.1926870363530046e-05
ML-KEM,768,Decapsulation,1500,0.0001935862669100364,0.00016589998267591,0.0001631999621167779,0.0014733000425621867,7.334892077122874e-05
ML-KEM,768,Encapsulation,1500,7.203313452191651e-05,6.590003613382578e-05,6.54999166727066e-05,0.0005627999780699611,1.985518064652039e-05
ML-KEM,768,KeyGen,1500,0.00029397293350969753,0.00027570000384002924,0.0002723999787122011,0.0008889000164344907,5.107758949193109e-05
RSA,2048,Decryption,1500,0.0004202173361554742,0.00036860001273453236,0.0003621999640017748,0.0015428999904543161,0.00013126081565153046
RSA,2048,Encryption,1500,3.9882933488115666e-05,3.6499928683042526e-05,3.609992563724518e-05,0.00020819995552301407,1.3824372790829295e-05
RSA,2048,KeyGen,1500,0.07239465046767145,0.06288629997288808,0.012152599985711277,0.29288279998581856,0.042431008233782735
RSA,2048,Signing,1500,0.00044026240116606155,0.00037240004166960716,0.00036209996324032545,0.0014603999443352222,0.00014513326453261297
RSA,2048,Verification,1500,4.523059842176735e-05,3.8400059565901756e-05,3.7899939343333244e-05,0.0003255000337958336,2.0172468908469795e-05
